time,V(n003)
2.507832072316758e-003,5.798762e-001
2.508924341536020e-003,5.782646e-001
2.531601816554684e-003,5.468028e-001
2.554279291573348e-003,5.162169e-001
2.576956766592011e-003,4.865069e-001
2.599634241610675e-003,4.576729e-001
2.622311716629338e-003,4.297148e-001
2.644989191648002e-003,4.026327e-001
2.667666666666665e-003,3.764265e-001
2.667670887157864e-003,3.764588e-001
2.667675107649064e-003,3.763295e-001
2.667679328140263e-003,3.760385e-001
2.667683548631462e-003,3.755858e-001
2.667687769122662e-003,3.749714e-001
2.667691989613861e-003,3.741954e-001
2.667696210105060e-003,3.732576e-001
2.667705575506382e-003,3.701552e-001
2.667718558002424e-003,3.639260e-001
2.667733488278944e-003,3.542295e-001
2.667754609520631e-003,3.368323e-001
2.667784351683014e-003,3.084015e-001
2.667809297453613e-003,2.827238e-001
2.667837477662047e-003,2.531653e-001
2.667871626619705e-003,2.178492e-001
2.667909938451998e-003,1.790264e-001
2.667966035254729e-003,1.229000e-001
2.668045298474197e-003,4.377142e-002
2.668134065358835e-003,-4.499496e-002
2.668222832243473e-003,-1.337428e-001
2.668311599128112e-003,-2.224720e-001
2.668400366012750e-003,-3.111827e-001
2.668489132897388e-003,-3.998749e-001
2.668577899782027e-003,-4.885484e-001
2.668666666666665e-003,-5.772035e-001
2.668670373368169e-003,-5.808284e-001
2.668677786771176e-003,-5.877759e-001
2.668692613577189e-003,-6.004983e-001
2.668702793652543e-003,-6.079276e-001
2.668715180020009e-003,-6.149312e-001
2.668729718085692e-003,-6.207635e-001
2.668745734249052e-003,-6.246524e-001
2.668762876285823e-003,-6.265935e-001
2.668779242203022e-003,-6.270456e-001
2.668798461439590e-003,-6.264065e-001
2.668817399219225e-003,-6.253207e-001
2.668836336998860e-003,-6.244220e-001
2.668855274778495e-003,-6.237106e-001
2.668874212558129e-003,-6.231864e-001
2.668893150337764e-003,-6.228494e-001
2.668912088117399e-003,-6.226997e-001
2.668931025897034e-003,-6.227371e-001
2.669163783598544e-003,-6.225051e-001
2.669396541300054e-003,-6.222416e-001
2.669629299001564e-003,-6.219466e-001
2.669862056703074e-003,-6.216201e-001
2.670094814404584e-003,-6.212621e-001
2.670327572106094e-003,-6.208727e-001
2.670560329807605e-003,-6.204517e-001
2.692479713142402e-003,-5.874486e-001
2.714399096477199e-003,-5.553431e-001
2.736318479811996e-003,-5.241355e-001
2.758237863146793e-003,-4.938255e-001
2.780157246481590e-003,-4.644133e-001
2.802076629816387e-003,-4.358988e-001
2.823996013151184e-003,-4.082820e-001
2.833333333333331e-003,-3.967820e-001
2.833337544361133e-003,-3.968140e-001
2.833341755388936e-003,-3.966849e-001
2.833345966416738e-003,-3.963947e-001
2.833350177444541e-003,-3.959435e-001
2.833354388472344e-003,-3.953312e-001
